id,category,language,source,raw_file,content_len
agy-001,agencies,fr,https://www.amenbank.com.tn/en/notre-identite.html,raw/agencies/agencies.json,401
agy-002,agencies,fr,https://www.amenbank.com.tn/en/particular/digital-bank-42-176-@mennet-.html,raw/agencies/agencies.json,277
agy-003,agencies,fr,https://www.amenbank.com.tn/en/particular/digital-bank-42-176-@mennet-.html,raw/agencies/agencies.json,270
agy-004,agencies,fr,https://www.amenbank.com.tn/en/particular/digital-bank-42-176-@mennet-.html,raw/agencies/agencies.json,247
agy-005,agencies,fr,https://www.amenbank.com.tn/en/notre-identite.html,raw/agencies/agencies.json,481
agy-006,agencies,fr,https://www.amenbank.com.tn/en/tla/digital-bank-53-214-amen-mobile.html,raw/agencies/agencies.json,347
agy-007,agencies,en,https://www.amenbank.com.tn/en/notre-identite.html,raw/agencies/agencies.json,315
ctc-001,contact,fr,https://www.amenbank.com.tn/en/notre-identite.html,raw/contact/contact.json,355
ctc-002,contact,fr,https://www.amenbank.com.tn/en/tla/digital-bank-53-214-amen-mobile.html,raw/contact/contact.json,337
ctc-003,contact,fr,https://www.amenbank.com.tn/en/notre-identite.html,raw/contact/contact.json,390
ctc-004,contact,fr,https://www.amenbank.com.tn/en/notre-identite.html,raw/contact/contact.json,278
ctc-005,contact,fr,https://www.amenbank.com.tn,raw/contact/contact.json,455
ctc-006,contact,en,https://www.amenbank.com.tn/en/notre-identite.html,raw/contact/contact.json,261
corp-001,corporate,fr,https://www.amenbank.com.tn/en/notre-identite.html,raw/corporate/corporate_information.json,564
corp-002,corporate,fr,https://fr.wikipedia.org/wiki/Amen_Bank,raw/corporate/corporate_information.json,631
corp-003,corporate,fr,https://www.amenbank.com.tn/en/notre-identite.html,raw/corporate/corporate_information.json,460
corp-004,corporate,fr,https://www.amenbank.com.tn/en/notre-identite.html,raw/corporate/corporate_information.json,568
corp-005,corporate,fr,https://www.amenbank.com.tn/en/notre-identite.html,raw/corporate/corporate_information.json,611
corp-006,corporate,fr,https://www.amenbank.com.tn/en/notre-identite.html,raw/corporate/corporate_information.json,611
corp-007,corporate,fr,https://themoney.tn/wiki/amen-bank/,raw/corporate/corporate_information.json,577
corp-008,corporate,fr,https://themoney.tn/wiki/amen-bank/,raw/corporate/corporate_information.json,613
corp-009,corporate,fr,https://www.amenbank.com.tn/en/notre-identite.html,raw/corporate/corporate_information.json,692
corp-010,corporate,fr,https://www.amenbank.com.tn/en/notre-identite.html,raw/corporate/corporate_information.json,519
corp-011,corporate,en,https://www.amenbank.com.tn/en/notre-identite.html,raw/corporate/corporate_information.json,501
corp-012,corporate,en,https://www.amenbank.com.tn/en/notre-identite.html,raw/corporate/corporate_information.json,396
acc-001,digital_banking,fr,https://www.amenbank.com.tn/en/particular/digital-bank-42-176-@mennet-.html,raw/digital_banking/accounts.json,438
acc-002,digital_banking,fr,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/digital_banking/accounts.json,424
acc-003,digital_banking,fr,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/digital_banking/accounts.json,452
acc-004,digital_banking,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/digital_banking/accounts.json,423
acc-005,digital_banking,fr,https://www.amenbank.com.tn/en/particular/digital-bank-42-176-@mennet-.html,raw/digital_banking/accounts.json,354
acc-006,digital_banking,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/digital_banking/accounts.json,366
bdg-001,digital_banking,fr,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/digital_banking/budget_management.json,335
bdg-002,digital_banking,fr,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/digital_banking/budget_management.json,339
bdg-003,digital_banking,fr,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/digital_banking/budget_management.json,379
bdg-004,digital_banking,fr,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/digital_banking/budget_management.json,372
card-001,digital_banking,fr,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/digital_banking/cards_monetique.json,403
card-002,digital_banking,fr,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/digital_banking/cards_monetique.json,342
card-003,digital_banking,fr,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/digital_banking/cards_monetique.json,366
card-004,digital_banking,fr,https://play.google.com/store/apps/details?id=com.amenmobile.amenbank,raw/digital_banking/cards_monetique.json,450
card-005,digital_banking,fr,https://www.amenbank.com.tn,raw/digital_banking/cards_monetique.json,346
card-006,digital_banking,fr,https://www.amenbank.com.tn/en/tla/digital-bank-53-214-amen-mobile.html,raw/digital_banking/cards_monetique.json,374
fx-001,digital_banking,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/digital_banking/foreign_banking.json,442
fx-002,digital_banking,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/digital_banking/foreign_banking.json,419
fx-003,digital_banking,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/digital_banking/foreign_banking.json,364
fx-004,digital_banking,fr,https://www.amenbank.com.tn/en/tla/digital-bank-53-214-amen-mobile.html,raw/digital_banking/foreign_banking.json,393
fx-005,digital_banking,fr,https://www.amenbank.com.tn,raw/digital_banking/foreign_banking.json,463
msg-001,digital_banking,fr,https://www.amenbank.com.tn,raw/digital_banking/messaging.json,430
msg-002,digital_banking,fr,https://www.amenbank.com.tn/en/tla/digital-bank-53-214-amen-mobile.html,raw/digital_banking/messaging.json,417
msg-003,digital_banking,fr,https://www.amenbank.com.tn,raw/digital_banking/messaging.json,382
msg-004,digital_banking,fr,https://www.amenbank.com.tn,raw/digital_banking/messaging.json,397
svc-001,digital_banking,fr,https://www.amenbank.com.tn/en/particular/digital-bank-42-176-@mennet-.html,raw/digital_banking/services.json,465
svc-002,digital_banking,fr,https://www.amenbank.com.tn/en/tla/digital-bank-53-214-amen-mobile.html,raw/digital_banking/services.json,498
svc-003,digital_banking,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/digital_banking/services.json,334
svc-004,digital_banking,fr,https://www.amenbank.com.tn/en/particular/digital-bank-42-176-@mennet-.html,raw/digital_banking/services.json,338
svc-005,digital_banking,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/digital_banking/services.json,308
trf-001,digital_banking,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/digital_banking/transfers.json,335
trf-002,digital_banking,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/digital_banking/transfers.json,387
trf-003,digital_banking,fr,https://www.amenbank.com.tn,raw/digital_banking/transfers.json,430
trf-004,digital_banking,fr,https://www.amenbank.com.tn/en/corporate/digital-bank-65-268-@mennet-.html,raw/digital_banking/transfers.json,376
trf-005,digital_banking,fr,https://www.amenbank.com.tn,raw/digital_banking/transfers.json,333
trf-006,digital_banking,fr,https://www.amenbank.com.tn,raw/digital_banking/transfers.json,505
